Arrival Time, Inter Arrival Time
680.880319,7.793497
681.517669,0.637350
681.612426,0.094757
682.220662,0.608236
684.058509,1.837846
684.921834,0.863325
686.152481,1.230647
686.737463,0.584982
688.914524,2.177061
689.943635,1.029111
692.946887,3.003252
695.165359,2.218472
696.912012,1.746653
699.250759,2.338746
704.748020,5.497261
705.777558,1.029538
706.282991,0.505433
706.343025,0.060034
706.573971,0.230946
706.892874,0.318904
709.324830,2.431956
711.001153,1.676324
711.035120,0.033966
714.531593,3.496474
718.069006,3.537412
718.201710,0.132704
721.660156,3.458446
722.496104,0.835948
723.436108,0.940004
723.624350,0.188242
726.018620,2.394270
729.532999,3.514379
730.370405,0.837406
730.550210,0.179806
730.687418,0.137207
733.957634,3.270216
734.783484,0.825850
736.391073,1.607589
743.022733,6.631660
743.832752,0.810019
745.911605,2.078853
746.423182,0.511578
747.456673,1.033490
747.596324,0.139651
753.856566,6.260242
